,indicator,name,upperdistrict,value,year
0,healthdamage,Басманный,ЦАО,,2012
0,healthdamage,Басманный,ЦАО,,2011
0,robbing,Басманный,ЦАО,103.0,2015
0,robbing,Басманный,ЦАО,70.0,2014
0,robbing,Басманный,ЦАО,71.0,2013
0,robbing,Басманный,ЦАО,101.0,2012
0,robbing,Басманный,ЦАО,,2011
0,banditry,Басманный,ЦАО,27.0,2015
0,banditry,Басманный,ЦАО,26.0,2014
0,banditry,Басманный,ЦАО,18.0,2013
0,banditry,Басманный,ЦАО,27.0,2012
0,banditry,Басманный,ЦАО,,2011
0,thefts,Басманный,ЦАО,733.0,2015
0,thefts,Басманный,ЦАО,533.0,2014
0,thefts,Басманный,ЦАО,,2013
0,thefts,Басманный,ЦАО,,2012
0,thefts,Басманный,ЦАО,,2011
0,burglary,Басманный,ЦАО,,2015
0,burglary,Басманный,ЦАО,,2014
0,burglary,Басманный,ЦАО,32.0,2013
0,burglary,Басманный,ЦАО,43.0,2012
0,burglary,Басманный,ЦАО,,2011
0,carthefts,Басманный,ЦАО,58.0,2015
0,carthefts,Басманный,ЦАО,40.0,2014
0,carthefts,Басманный,ЦАО,72.0,2013
0,carthefts,Басманный,ЦАО,83.0,2012
0,carthefts,Басманный,ЦАО,,2011
0,fraud,Басманный,ЦАО,262.0,2015
0,fraud,Басманный,ЦАО,306.0,2014
0,fraud,Басманный,ЦАО,,2013
0,fraud,Басманный,ЦАО,,2012
0,fraud,Басманный,ЦАО,,2011
0,hijacking,Басманный,ЦАО,5.0,2015
0,hijacking,Басманный,ЦАО,5.0,2014
0,hijacking,Басманный,ЦАО,7.0,2013
0,hijacking,Басманный,ЦАО,3.0,2012
0,hijacking,Басманный,ЦАО,,2011
0,drugs,Басманный,ЦАО,141.0,2015
0,drugs,Басманный,ЦАО,116.0,2014
0,drugs,Басманный,ЦАО,140.0,2013
0,drugs,Басманный,ЦАО,59.0,2012
0,drugs,Басманный,ЦАО,,2011
0,publicplaces,Басманный,ЦАО,1152.0,2015
0,publicplaces,Басманный,ЦАО,667.0,2014
0,publicplaces,Басманный,ЦАО,606.0,2013
0,publicplaces,Басманный,ЦАО,710.0,2012
0,publicplaces,Басманный,ЦАО,,2011
0,street,Басманный,ЦАО,562.0,2015
0,street,Басманный,ЦАО,366.0,2014
0,street,Басманный,ЦАО,391.0,2013
0,street,Басманный,ЦАО,458.0,2012
0,street,Басманный,ЦАО,,2011
0,population,Замоскворечье,ЦАО,57722.0,2015
0,population,Замоскворечье,ЦАО,57012.0,2014
0,population,Замоскворечье,ЦАО,56937.0,2013
0,population,Замоскворечье,ЦАО,56483.0,2012
0,population,Замоскворечье,ЦАО,56098.0,2011
0,crimebook,Замоскворечье,ЦАО,31785.0,2015
0,crimebook,Замоскворечье,ЦАО,25935.0,2014
0,crimebook,Замоскворечье,ЦАО,22425.0,2013
0,crimebook,Замоскворечье,ЦАО,,2012
0,crimebook,Замоскворечье,ЦАО,,2011
0,crimes,Замоскворечье,ЦАО,1770.0,2015
0,crimes,Замоскворечье,ЦАО,1472.0,2014
0,crimes,Замоскворечье,ЦАО,979.0,2013
0,crimes,Замоскворечье,ЦАО,1752.0,2012
0,crimes,Замоскворечье,ЦАО,,2011
0,economiccrimes,Замоскворечье,ЦАО,186.0,2015
0,economiccrimes,Замоскворечье,ЦАО,159.0,2014
0,economiccrimes,Замоскворечье,ЦАО,,2013
0,economiccrimes,Замоскворечье,ЦАО,,2012
0,economiccrimes,Замоскворечье,ЦАО,,2011
0,gravecrimes,Замоскворечье,ЦАО,501.0,2015
0,gravecrimes,Замоскворечье,ЦАО,,2014
0,gravecrimes,Замоскворечье,ЦАО,367.0,2013
0,gravecrimes,Замоскворечье,ЦАО,633.0,2012
0,gravecrimes,Замоскворечье,ЦАО,,2011
0,murders,Замоскворечье,ЦАО,0.0,2015
0,murders,Замоскворечье,ЦАО,1.0,2014
0,murders,Замоскворечье,ЦАО,4.0,2013
0,murders,Замоскворечье,ЦАО,5.0,2012
0,murders,Замоскворечье,ЦАО,,2011
0,healthdamage,Замоскворечье,ЦАО,4.0,2015
0,healthdamage,Замоскворечье,ЦАО,7.0,2014
0,healthdamage,Замоскворечье,ЦАО,7.0,2013
0,healthdamage,Замоскворечье,ЦАО,8.0,2012
0,healthdamage,Замоскворечье,ЦАО,,2011
0,robbing,Замоскворечье,ЦАО,125.0,2015
0,robbing,Замоскворечье,ЦАО,,2014
0,robbing,Замоскворечье,ЦАО,72.0,2013
0,robbing,Замоскворечье,ЦАО,73.0,2012
0,robbing,Замоскворечье,ЦАО,,2011
0,banditry,Замоскворечье,ЦАО,,2015
0,banditry,Замоскворечье,ЦАО,,2014
0,banditry,Замоскворечье,ЦАО,18.0,2013
0,banditry,Замоскворечье,ЦАО,19.0,2012
0,banditry,Замоскворечье,ЦАО,,2011
0,thefts,Замоскворечье,ЦАО,753.0,2015
0,thefts,Замоскворечье,ЦАО,603.0,2014
0,thefts,Замоскворечье,ЦАО,302.0,2013
0,thefts,Замоскворечье,ЦАО,520.0,2012
0,thefts,Замоскворечье,ЦАО,,2011
0,burglary,Замоскворечье,ЦАО,17.0,2015
0,burglary,Замоскворечье,ЦАО,19.0,2014
0,burglary,Замоскворечье,ЦАО,24.0,2013
0,burglary,Замоскворечье,ЦАО,35.0,2012
0,burglary,Замоскворечье,ЦАО,,2011
0,carthefts,Замоскворечье,ЦАО,14.0,2015
0,carthefts,Замоскворечье,ЦАО,23.0,2014
0,carthefts,Замоскворечье,ЦАО,36.0,2013
0,carthefts,Замоскворечье,ЦАО,59.0,2012
0,carthefts,Замоскворечье,ЦАО,,2011
0,fraud,Замоскворечье,ЦАО,,2015
0,fraud,Замоскворечье,ЦАО,,2014
0,fraud,Замоскворечье,ЦАО,162.0,2013
0,fraud,Замоскворечье,ЦАО,312.0,2012
0,fraud,Замоскворечье,ЦАО,,2011
0,hijacking,Замоскворечье,ЦАО,5.0,2015
0,hijacking,Замоскворечье,ЦАО,,2014
0,hijacking,Замоскворечье,ЦАО,3.0,2013
0,hijacking,Замоскворечье,ЦАО,9.0,2012
0,hijacking,Замоскворечье,ЦАО,,2011
0,drugs,Замоскворечье,ЦАО,241.0,2015
0,drugs,Замоскворечье,ЦАО,,2014
0,drugs,Замоскворечье,ЦАО,102.0,2013
0,drugs,Замоскворечье,ЦАО,61.0,2012
0,drugs,Замоскворечье,ЦАО,,2011
0,publicplaces,Замоскворечье,ЦАО,1177.0,2015
0,publicplaces,Замоскворечье,ЦАО,792.0,2014
0,publicplaces,Замоскворечье,ЦАО,445.0,2013
0,publicplaces,Замоскворечье,ЦАО,679.0,2012
0,publicplaces,Замоскворечье,ЦАО,,2011
0,street,Замоскворечье,ЦАО,622.0,2015
0,street,Замоскворечье,ЦАО,508.0,2014
0,street,Замоскворечье,ЦАО,315.0,2013
0,street,Замоскворечье,ЦАО,442.0,2012
0,street,Замоскворечье,ЦАО,,2011
0,population,Красносельский,ЦАО,48324.0,2015
